id,inv_date,product_code,price_per_unit,units_sold,total_sales,op_profit,op_margin,sales_method_code,market_code,retailer_code
1,2020-01-01,Prod001,50.0,1200,600000.0,300000.0,0.5,SM001,Mark001,1185732
2,2020-01-02,Prod002,50.0,1000,500000.0,150000.0,0.3,SM001,Mark001,1185732
3,2020-01-03,Prod003,40.0,1000,400000.0,140000.0,0.35,SM001,Mark001,1185732
4,2020-01-04,Prod004,45.0,850,382500.0,133875.0,0.35,SM001,Mark001,1185732
5,2020-01-05,Prod005,60.0,900,540000.0,162000.0,0.3,SM001,Mark001,1185732
6,2020-01-06,Prod006,50.0,1000,500000.0,125000.0,0.25,SM001,Mark001,1185732
7,2020-01-07,Prod001,50.0,1250,625000.0,312500.0,0.5,SM001,Mark001,1185732
8,2020-01-08,Prod002,50.0,900,450000.0,135000.0,0.3,SM002,Mark001,1185732
9,2020-01-21,Prod003,40.0,950,380000.0,133000.0,0.35,SM002,Mark001,1185732
10,2020-01-22,Prod004,45.0,825,371250.0,129937.49999999999,0.35,SM002,Mark001,1185732
11,2020-01-23,Prod005,60.0,900,540000.0,162000.0,0.3,SM002,Mark001,1185732
12,2020-01-24,Prod006,50.0,1000,500000.0,125000.0,0.25,SM002,Mark001,1185732
13,2020-01-25,Prod001,50.0,1220,610000.0,305000.0,0.5,SM002,Mark001,1185732
14,2020-01-26,Prod002,50.0,925,462500.0,138750.0,0.3,SM002,Mark001,1185732
15,2020-01-27,Prod003,40.0,950,380000.0,133000.0,0.35,SM002,Mark001,1185732
16,2020-01-28,Prod004,45.0,800,360000.0,125999.99999999999,0.35,SM002,Mark001,1185732
17,2020-01-29,Prod005,60.0,850,510000.0,153000.0,0.3,SM002,Mark001,1185732
18,2020-01-30,Prod006,50.0,950,475000.0,118750.0,0.25,SM002,Mark001,1185732
19,2020-01-31,Prod001,50.0,1200,600000.0,300000.0,0.5,SM002,Mark001,1185732
20,2020-02-01,Prod002,50.0,900,450000.0,135000.0,0.3,SM002,Mark001,1185732
21,2020-02-02,Prod003,40.0,900,360000.0,125999.99999999999,0.35,SM002,Mark001,1185732
22,2020-02-03,Prod004,45.0,825,371250.0,129937.49999999999,0.35,SM002,Mark001,1185732
23,2020-02-04,Prod005,60.0,825,495000.0,148500.0,0.3,SM002,Mark001,1185732
24,2020-02-05,Prod006,50.0,950,475000.0,118750.0,0.25,SM002,Mark001,1185732
25,2020-02-06,Prod001,60.0,1220,732000.0,366000.0,0.5,SM002,Mark001,1185732
26,2020-02-07,Prod002,55.00000000000001,925,508750.00000000006,152625.0,0.3,SM002,Mark001,1185732
27,2020-02-08,Prod003,50.0,900,450000.0,157500.0,0.35,SM002,Mark001,1185732
28,2020-02-09,Prod004,50.0,850,425000.0,148750.0,0.35,SM002,Mark001,1185732
29,2020-02-10,Prod005,60.0,875,525000.0,157500.0,0.3,SM002,Mark001,1185732
30,2020-03-03,Prod006,65.0,1000,650000.0,162500.0,0.25,SM002,Mark001,1185732
