id,inv_date,year,month,day_of_week,day_name,id,inv_date,product_code,price_per_unit,units_sold,total_sales,op_profit,op_margin,sales_method_code,market_code,retailer_code
1,2020-01-01,2020,1,2,Wednesday,7777,2020-01-01,Prod001,34,384,13056,6789.12,0.52,SM002,Mark001,1185732
1,2020-01-01,2020,1,2,Wednesday,3889,2020-01-01,Prod001,47,336,15792,9633.12,0.61,SM003,Mark001,1185732
1,2020-01-01,2020,1,2,Wednesday,1,2020-01-01,Prod001,50,1200,600000,300000,0.5,SM001,Mark001,1185732
1,2020-01-01,2020,1,2,Wednesday,8204,2020-01-01,Prod006,53,83,4399,1407.68,0.32,SM002,Mark007,1185732
1,2020-01-01,2020,1,2,Wednesday,4388,2020-01-01,Prod006,68,83,5644,2426.92,0.43,SM003,Mark007,1185732
1,2020-01-01,2020,1,2,Wednesday,500,2020-01-01,Prod006,75,275,206250,61875,0.3,SM002,Mark007,1185732
2,2020-01-02,2020,1,3,Thursday,8205,2020-01-02,Prod001,27,158,4266,1791.72,0.42,SM002,Mark007,1189833
2,2020-01-02,2020,1,3,Thursday,4389,2020-01-02,Prod001,32,122,3904,1991.04,0.51,SM003,Mark007,1189833
2,2020-01-02,2020,1,3,Thursday,501,2020-01-02,Prod001,35,450,157500,63000,0.4,SM002,Mark007,1189833
2,2020-01-02,2020,1,3,Thursday,7778,2020-01-02,Prod002,36,320,11520,4032.0,0.35,SM002,Mark001,1185732
2,2020-01-02,2020,1,3,Thursday,3890,2020-01-02,Prod002,47,260,12220,5132.4,0.42,SM003,Mark001,1185732
2,2020-01-02,2020,1,3,Thursday,2,2020-01-02,Prod002,50,1000,500000,150000,0.3,SM001,Mark001,1185732
3,2020-01-03,2020,1,4,Friday,8206,2020-01-03,Prod002,35,135,4725,1464.75,0.31,SM002,Mark007,1189833
3,2020-01-03,2020,1,4,Friday,4390,2020-01-03,Prod002,44,117,5148,1904.76,0.37,SM003,Mark007,1189833
3,2020-01-03,2020,1,4,Friday,502,2020-01-03,Prod002,45,450,202500,50625,0.25,SM002,Mark007,1189833
3,2020-01-03,2020,1,4,Friday,7779,2020-01-03,Prod003,32,350,11200,4144,0.37,SM002,Mark001,1185732
3,2020-01-03,2020,1,4,Friday,3891,2020-01-03,Prod003,36,250,9000,4140,0.46,SM003,Mark001,1185732
3,2020-01-03,2020,1,4,Friday,3,2020-01-03,Prod003,40,1000,400000,140000,0.35,SM001,Mark001,1185732
